,title,discountedPrice,imgUrl,actualPrice,rating
107,"ASUS i3-1005G1//4G/1T/15.6""FHD/Office H&S/Finger Print/ X515JA-EJ302TS Laptop (Transparent Silver )","32,148",https://m.media-amazon.com/images/I/71hgzeX--TL._AC_UY218_.jpg,"₹32,148",1.7 out of 5 stars
109,"Lenovo IdeaPad Slim 3 10th Gen Intel Core i5 15.6-inch Full HD IPS Thin and Light Laptop (8GB/512GB SSD/Windows 10/MS Office 2019/Fingerprint Reader/Platinum Grey/1.85Kg), 81WE018TIN","52,925",https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,"₹52,925",4.3 out of 5 stars
110,"Lenovo V14 Intel Core i5 10th Gen 14-inch Full HD Thin and Light Laptop (8GB RAM/ 256GB SSD/ Windows 10 Home/ Grey/ 1.6 kg), 82C4015VIH","43,790",https://m.media-amazon.com/images/I/71iyJJMr-NL._AC_UY218_.jpg,"₹43,790",3.8 out of 5 stars
111,"Dell Vostro 3400 14"" FHD Anti Glare Display Laptop / i5-1135G7 / 8GB / 1TB / Integrated Graphics / 1 Yr NBD / Win 10 + MSO / Dune Color / 1.6Kg/ Backlit Keyboard) D552155WIN9DE","49,990",https://m.media-amazon.com/images/I/51CEknIIHcL._AC_UY218_.jpg,"₹49,990",3.5 out of 5 stars
115,"Lenovo V15 Intel Core i5 10th Gen 15-inch Full HD Thin and Light Laptop (8GB RAM/ 256GB SSD/ Windows 10 Home/ Grey/ 1.85 kg), 82C500PFIH","46,777",https://m.media-amazon.com/images/I/71cd41RWSNL._AC_UY218_.jpg,"₹46,777",3.7 out of 5 stars
118,"Lenovo Ideapad Slim 3 10th Gen Intel Core i5 15.6 inch FHD Thin and Light Laptop (8GB/1TB/Windows 10/Grey/1.85Kg), 81WE007UIN","42,990",https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,"₹42,990",3.6 out of 5 stars
119,"Acer Aspire 3 Ryzen 3 3200U 15.6"" - (4 GB/1TB HDD/Windows 10 Home/AMD Radeon Vega 3 Mobile Graphics /1.9Kg/Black) A315-42","27,990",https://m.media-amazon.com/images/I/718QD+zGlCL._AC_UY218_.jpg,"₹27,990",4.4 out of 5 stars
120,"HP Pavilion x360 Touchscreen 2-in-1 FHD 14-inch Laptop (10th Gen Core i3-10110U/8GB/512GB SSD/Win 10/MS Office/Mineral Silver/1.58 kg), 14-dh1178tu","49,439",https://m.media-amazon.com/images/I/617clKqAqiL._AC_UY218_.jpg,"₹49,439",4.3 out of 5 stars
123,"Lenovo Ideapad S145 Intel Core i3 10th Gen 15.6 inch FHD Thin and Light Laptop (8GB/256 GB SSD/Windows 10/Office 2019/Grey/1.85Kg), 81W800B1IN","35,990",https://m.media-amazon.com/images/I/81EoCoV-8tL._AC_UY218_.jpg,"₹35,990",3.8 out of 5 stars
126,"Lenovo IdeaPad Slim 3 AMD Athlon Silver 3050U 15.6 inch HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/MS Office 2019/Integrated AMD Radeon Graphics/Platinum Grey/1.85Kg), 81W100W9IN","27,999",https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,"₹27,999",3.0 out of 5 stars
127,"HP 14 Thin & Light 14-inch FHD Laptop (11th Gen Intel i5-1135G7/8GB/512GB SSD/Windows 10/MS Office 2019/Alexa Built-in/Pale Gold/1.47 kg), 14s-dr2006TU","59,292",https://m.media-amazon.com/images/I/81qlKbTuQXL._AC_UY218_.jpg,"₹59,292",3.8 out of 5 stars
129,"HP Notebook 250 G7 Laptop 2A9A5PA#ACJ (Intel Celeron N4020/4GB Ram/1TB HDD/15.6 inch HD/Windows 10/Intel UHD Graphics/1.78Kg),Dark Ash Silver","27,400",https://m.media-amazon.com/images/I/91KI7EcBzKL._AC_UY218_.jpg,"₹27,400",3.5 out of 5 stars
130,"Acer One 14 Pentium Dual Core - (4 GB/1 TB HDD/Windows 10 Home) Z2-485 Thin and Light Laptop (14 inch, Silver, 1.8 kg)","23,990",https://m.media-amazon.com/images/I/61xkZLrtL9L._AC_UY218_.jpg,"₹23,990",2.7 out of 5 stars
134,"Lenovo IdeaPad Flex 5 11th Gen Intel Core i3 14-inch FHD IPS 2-in-1 Touchscreen Laptop (8GB/512GB SSD/Win 10/Office 2019/Lenovo Digital Pen Stylus/Fingerprint Reader/Graphite Grey/1.5Kg), 82HS009GIN","50,993",https://m.media-amazon.com/images/I/61ta6vDkCRL._AC_UY218_.jpg,"₹50,993",4.1 out of 5 stars
135,"Lenovo IdeaPad Flex 5 11th Gen Intel Core i7 14-inch FHD IPS 2-in-1 Touchscreen Laptop (16GB/512GB SSD/Win 10/Office 2019/Lenovo Digital Pen Stylus/Fingerprint Reader/Graphite Grey/1.5Kg), 82HS0092IN","83,990",https://m.media-amazon.com/images/I/61ta6vDkCRL._AC_UY218_.jpg,"₹83,990",5.0 out of 5 stars
136,"ASUS ExpertBook P1 (P1440FA)-14 inch Notebook (Intel i3-10110U Processor, 4GB RAM, 1TB HDD, Endless)-P1440FA-FQ2348","29,990",https://m.media-amazon.com/images/I/81-cDyuAeOL._AC_UY218_.jpg,"₹29,990",3.8 out of 5 stars
137,"ASUS i3-1005G1//8G/1TB HDD/15.6""FHD/Office H&S/Finger Print Laptop, X515JA-EJ322TS - Transparent Silver","36,300",https://m.media-amazon.com/images/I/41X5UrYBjqL._AC_UY218_.jpg,"₹36,300",3.6 out of 5 stars
